total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
1372,1240,0.904,136.4,6,722.5,6227276.6
1360,1133,0.833,113.3,6,733.2,7519480.0
1292,1189,0.920,147.5,6,773.2,7040923.9
1079,804,0.745,132.4,7,920.4,6242172.3
1645,1099,0.668,196.2,7,594.3,2821169.6
1554,1322,0.851,161.7,7,636.2,5739721.9
1159,964,0.832,207.3,4,852.6,8369506.3
1179,1119,0.949,138.6,4,820.4,10455951.0
1294,1174,0.907,138.3,5,769.0,8273663.3
1034,957,0.926,111.4,5,955.1,12029277.3
1211,1162,0.960,116.9,6,802.6,7673757.0
476,304,0.639,210.8,5,2096.3,19736787.9
303,142,0.469,145.6,7,3299.9,26657958.4
436,305,0.700,114.1,8,2291.8,13717445.0
521,389,0.747,103.5,7,1869.4,19076778.1
324,292,0.901,116.4,6,3070.0,34848320.3
367,251,0.684,205.7,6,2684.9,29431369.2
460,95,0.207,128.3,7,2172.6,22035215.8
217,102,0.470,111.8,6,4583.2,80010908.1
329,113,0.343,88.0,6,3030.7,25200520.6
450,174,0.387,218.3,5,2213.6,12329101.7
587,306,0.521,273.2,6,1697.5,12064994.7
492,155,0.315,290.6,6,2028.6,16793315.2
268,147,0.549,187.4,6,3699.2,46964502.2
316,223,0.706,148.6,8,3078.5,34940441.1
171,102,0.596,149.7,7,5758.0,80726726.0
219,136,0.621,196.1,6,4544.4,48862870.1
437,146,0.334,231.5,5,2230.2,20750012.5
475,155,0.326,148.0,6,2083.8,14224645.3
593,291,0.491,196.5,7,1659.4,11727104.9
579,279,0.482,243.1,6,1721.2,11591755.8
486,370,0.761,215.3,6,2019.5,11613835.2
650,403,0.620,282.2,6,1524.6,7245957.5
363,161,0.444,226.8,6,2707.6,12615114.0
378,150,0.397,146.1,8,2634.5,41614674.9
738,355,0.481,300.8,8,1343.3,5641539.5
656,350,0.534,165.9,7,1519.1,3382488.3
396,196,0.495,177.1,6,2495.9,11698998.7
583,472,0.810,196.1,7,1714.6,8220281.1
406,269,0.663,304.3,8,2443.9,11103697.6
285,166,0.582,243.2,6,3497.6,22677191.2
448,293,0.654,158.1,5,2233.4,11611715.3
311,232,0.746,191.0,6,3224.0,22442836.0
536,333,0.621,192.5,7,1811.2,5514430.9
639,248,0.388,129.6,7,1554.8,6833508.4
437,174,0.398,198.9,8,2229.7,13150364.0
199,96,0.482,196.6,7,5029.3,45853111.4
142,62,0.437,192.6,6,7010.4,90126653.5
261,98,0.375,151.8,5,3783.4,31506440.4
273,102,0.374,149.8,6,3646.6,14082620.3
186,38,0.204,197.1,7,5319.5,62800038.7
266,35,0.132,98.0,6,3729.4,27848340.6
403,136,0.337,113.4,6,2485.7,11194858.0
271,91,0.336,131.4,6,3634.8,23073634.1
234,110,0.470,96.4,7,4177.0,49300588.6
210,142,0.676,195.6,8,4773.4,35646065.5
157,121,0.771,164.9,6,6347.2,40351116.5
219,129,0.589,237.9,6,4550.5,40314297.3
577,134,0.232,142.4,8,1727.0,15459830.4
