total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance,label
996,946,0.95,125.3,6,1002.0,9611297.5,udp_flood
1021,863,0.845,103.9,7,977.7,9003473.9,udp_flood
1079,804,0.745,132.4,7,920.4,6242172.3,udp_flood
1899,906,0.477,123.8,5,522.1,3197880.5,udp_flood
137,41,0.299,85.6,5,7082.3,157631065.2,normal
1447,1172,0.81,118.0,6,687.6,6918446.7,udp_flood
1765,993,0.563,130.0,4,566.1,5102836.9,udp_flood
1087,1032,0.949,116.8,5,920.0,9714773.5,udp_flood
972,882,0.907,108.0,7,1019.9,11043341.6,udp_flood
128,7,0.055,147.4,6,7358.5,222532481.9,normal
1394,1359,0.975,110.4,5,715.2,8381551.2,udp_flood
282,0,0.0,65.7,5,3468.3,55580373.9,normal
897,869,0.969,111.9,5,1112.4,11683300.9,udp_flood
316,273,0.864,120.1,6,3136.7,27093947.5,udp_flood
1302,1230,0.945,108.7,5,762.1,9119624.2,udp_flood
1247,1178,0.945,109.6,6,797.3,8027940.1,udp_flood
360,45,0.125,171.9,7,2784.3,17183096.1,normal
1016,981,0.966,111.7,8,960.2,11971369.4,udp_flood
1298,1226,0.945,108.5,5,753.3,6459056.0,udp_flood
76,40,0.526,118.4,6,12287.7,375332596.0,normal
1035,922,0.891,105.0,4,963.8,15870735.0,udp_flood
198,83,0.419,96.8,5,4976.7,133605026.9,normal
244,26,0.107,130.8,6,4004.4,118144183.2,normal
511,364,0.712,118.4,9,1942.3,55199770.2,udp_flood
26,1,0.038,172.6,6,39890.6,1317109870.0,normal
296,35,0.118,182.8,6,3352.3,18737524.3,normal
28,4,0.143,205.1,5,34126.3,947262567.4,normal
311,232,0.746,191.0,6,3224.0,22442836.0,udp_flood
1241,1138,0.917,106.6,7,784.8,5735123.3,udp_flood
984,933,0.948,110.8,6,1004.9,12052432.5,udp_flood
104,0,0.0,105.5,3,9596.0,333358181.6,normal
39,2,0.051,118.4,8,25780.9,910195191.5,normal
1183,1165,0.985,110.8,5,834.3,17247620.3,udp_flood
39,17,0.436,426.3,4,25302.1,517292329.0,normal
25,1,0.04,148.8,5,40485.6,1446045728.1,normal
123,31,0.252,98.5,4,7867.6,178973710.7,normal
1474,951,0.645,118.6,7,675.1,5899019.5,udp_flood
1568,1471,0.938,110.2,6,636.6,5944117.5,udp_flood
1368,1196,0.874,111.2,5,724.6,5229071.2,udp_flood
444,392,0.883,150.9,5,2098.9,44756568.9,normal
114,27,0.237,116.9,5,8800.2,168616848.5,normal
363,31,0.085,158.0,8,2758.4,21780838.9,normal
245,87,0.355,75.8,6,4077.4,78576636.5,normal
1045,982,0.94,115.4,7,944.5,12503516.4,udp_flood
106,2,0.019,83.0,5,9395.0,58829136.7,normal
283,29,0.102,81.5,6,3529.3,24522862.7,normal
981,868,0.885,102.2,6,1011.5,22664744.3,udp_flood
1365,1352,0.99,114.1,5,699.3,7152448.2,udp_flood
69,47,0.681,121.9,5,13896.1,373682286.1,normal
1596,591,0.37,137.9,8,621.5,5493634.8,udp_flood
355,221,0.623,102.8,7,2770.4,22126111.0,udp_flood
1111,1066,0.959,111.0,6,884.8,9106581.0,udp_flood
111,30,0.27,248.7,7,8964.1,159975757.6,normal
1284,919,0.716,120.7,6,764.5,7941556.8,udp_flood
43,5,0.116,220.4,5,23043.8,452270316.2,normal
50,3,0.06,154.4,7,19148.6,738558378.0,normal
997,950,0.953,111.0,6,987.1,10307357.2,udp_flood
346,35,0.101,181.8,6,2870.8,25275460.6,normal
262,10,0.038,145.8,6,3770.7,38957345.5,normal
325,203,0.625,149.8,7,3081.4,25118151.6,udp_flood
480,414,0.863,122.0,4,1927.9,47029229.2,normal
79,6,0.076,322.9,7,12056.6,309029814.0,normal
1206,1113,0.923,114.2,6,822.6,9564426.0,udp_flood
369,243,0.659,116.8,6,2703.0,42273629.3,normal
1238,1139,0.92,107.0,5,804.1,7522181.4,udp_flood
1170,1107,0.946,110.4,4,841.0,10922462.6,udp_flood
1400,1171,0.836,114.5,5,713.9,6515694.5,udp_flood
1340,406,0.303,132.9,6,741.5,7804169.7,udp_flood
136,2,0.015,74.5,6,7355.8,82952180.5,normal
1093,979,0.896,106.4,5,907.4,9148616.8,udp_flood
161,88,0.547,158.2,6,5605.7,138448099.9,normal
48,31,0.646,103.0,6,19663.1,648872731.4,normal
1812,1666,0.919,107.0,5,539.4,8556733.0,udp_flood
1288,1065,0.827,99.4,5,773.9,5785975.5,udp_flood
187,69,0.369,82.0,6,5281.9,76237393.2,normal
88,7,0.08,124.2,7,10952.7,373321719.9,normal
1145,1026,0.896,106.2,5,864.2,8917135.6,udp_flood
144,23,0.16,154.8,6,6611.0,69052581.8,normal
1040,992,0.954,120.6,3,952.4,13235372.9,udp_flood
66,15,0.227,202.3,5,15234.1,386565062.0,normal
1153,1073,0.931,107.5,6,851.8,7738382.8,udp_flood
93,15,0.161,108.5,5,10722.1,192557206.7,normal
297,251,0.845,248.8,5,3326.7,40201059.3,normal
77,56,0.727,249.8,4,12146.7,269617139.3,normal
259,39,0.151,229.5,7,3849.7,40576913.9,normal
1155,1099,0.952,110.5,6,864.1,7486098.3,udp_flood
1355,1158,0.855,117.1,6,731.5,10587296.0,udp_flood
1278,1262,0.987,111.1,4,776.5,10500382.0,udp_flood
1290,1173,0.909,106.0,6,765.4,6093943.2,udp_flood
133,20,0.15,74.8,4,7253.0,210303287.6,normal
661,269,0.407,167.9,6,1492.9,12688975.2,normal
229,131,0.572,182.0,5,4339.6,84273177.0,normal
1084,484,0.446,158.6,6,920.6,3292706.7,udp_flood
493,296,0.6,146.9,6,2022.6,11187717.8,normal
1221,1095,0.897,107.9,4,817.2,7930539.6,udp_flood
120,49,0.408,168.6,6,8085.8,157755256.0,normal
1160,994,0.857,114.2,6,847.3,9513046.5,udp_flood
